Product ID,Product Name,Cat Website,Price,Price/Kg,Promotion,Innovation,Link,Image
310127477,Olbas Inhaler Nasal Stick 2 X 695Mg,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£3.00,£1.50/each,,,/groceries/en-GB/products/310127477,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
255675674,Tesco Washproof 10 Strips 6Cm X 10Cm,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£1.40,£0.14/each,,,/groceries/en-GB/products/255675674,https://digitalcontent.api.tesco.com/v2/media/ghs/e765500c-b9d2-48ca-a081-e357cb5f4dc0/a0c867f6-a302-48a2-ba27-15a355e27b87_1878065286.jpeg?h=225&w=225
250790412,Tesco Calamine Lotion 200Ml,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£2.00,£1.00/100ml,,,/groceries/en-GB/products/250790412,https://digitalcontent.api.tesco.com/v2/media/ghs/3a88501a-05fe-403a-86a8-e1b9dad2ef1a/dd414ab6-9ff3-42ab-84f1-58ebeae1e311_1580362453.jpeg?h=225&w=225
272619854,Blistex Relief Cream 5 G,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£3.20,£64.00/100g,,,/groceries/en-GB/products/272619854,https://digitalcontent.api.tesco.com/v2/media/ghs/eb7ae654-9e80-4ebb-95cc-c9afbab8479c/08d1f0be-dcec-4d09-96c0-9356778824ee_828825279.jpeg?h=225&w=225
250537351,Tesco Swimming Plasters 16'S,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£1.15,£0.07/each,,,/groceries/en-GB/products/250537351,https://digitalcontent.api.tesco.com/v2/media/ghs/67cd1e71-e9ab-4f1e-a038-bfb48017cdec/4e9afced-47a6-4c00-87bd-83829c73d865_884539618.jpeg?h=225&w=225
279427016,Galpharm Ibuprofen Capsules 16S,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£0.80,£0.05/each,,,/groceries/en-GB/products/279427016,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
277493043,Clarityn Allergy Tablets One A Day 30'S,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£10.40,£0.35/each,,,/groceries/en-GB/products/277493043,https://digitalcontent.api.tesco.com/v2/media/ghs/499e3a50-3366-4083-b673-55555986937b/f81039a6-58f2-4de7-affc-b776919fa39d_15836902.jpeg?h=225&w=225
304390325,Flourish Intimate Moisturiser 42.5G,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£11.00,£25.89/100g,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Vitamins Or Supplements,,/groceries/en-GB/products/304390325,https://digitalcontent.api.tesco.com/v2/media/ghs/d5bf3027-6975-4090-bd5e-d3f8d3aa549c/2efe2e4b-d872-4adb-bc25-2df4caf61113_1509889608.jpeg?h=225&w=225
299836659,Lyclear Shampoo Plus Comb 200Ml,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£12.00,£6.00/100ml,,,/groceries/en-GB/products/299836659,https://digitalcontent.api.tesco.com/v2/media/ghs/0d9a4692-47c2-4aeb-b873-3d079925c92b/2755131b-7e9d-406d-989b-514bcd30d105_2101295081.jpeg?h=225&w=225
297764735,Benylin Dry & Tickly Cough 300Ml,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£8.90,£2.97/100ml,,,/groceries/en-GB/products/297764735,https://digitalcontent.api.tesco.com/v2/media/ghs/1658ac2d-0aee-45e9-adda-33d8f7e5b60c/2d1f0f2d-8548-4b7b-9c0b-4cff4a778b1f_193038558.jpeg?h=225&w=225
